,skill,count
10900,data,3348
15594,experience,3193
48758,work,2785
43922,team,2735
20913,skill,0
4906,business,2481
39106,science,2323
1521,analysis,2249
39139,scientist,2101
11439,degree,2033
79,ability,1979
24688,learning,1931
36047,python,1923
44153,technology,1921
10801,tool,1880
8255,company,1842
23275,solution,1833
23608,job,0
37649,responsibility,1827
34767,problem,1823
11926,development,1815
1571,analytics,1814
21493,service,0
28186,model,1797
42671,strong,1775
41856,sql,1767
8611,computer,1717
23263,project,1707
25898,machine learning,1691
8119,communication,1684
30737,time,0
14812,environment,1651
14495,engineering,1646
37204,related,0
23284,support,1640
10586,customer,1624
42220,statistic,1613
44007,technical,1610
21508,process,0
43441,system,1581
36146,qualification,1560
16351,field,1550
5527,help,1540
11680,design,1536
15,&,0
25823,r,1506
23249,management,1483
11031,data science,1476
41028,software,1462
38188,role,0
4757,build,0
8583,computer science,1412
11331,decision,1407
24903,level,0
14280,employer,0
12368,disability,0
37496,research,1367
33998,position,0
35669,provide,1350
46193,understanding,1327
44137,technique,1325
48880,world,1314
24338,language,1310
28174,modeling,1302
3382,based,0
1928,application,0
14281,employment,1269
4773,building,1233
795,advanced,1228
30746,one,0
46945,veteran,0
19974,high,1193
37694,result,1192
12993,drive,1186
42226,status,1172
39957,sexual,0
18046,gender,0
48163,well,0
14906,equal opportunity,0
39965,sexual orientation,0
30702,set,0
29167,national,0
1248,source,1121
31468,organization,1117
23949,key,0
32658,people,0
35303,programming,1091
1231,algorithm,1083
36428,race,0
21145,identity,0
5569,candidate,0
8137,communication skill,1070
36224,quantitative,1068
9935,create,0
7867,color,0
2002,apply,0
37273,religion,0
11677,description,0
33621,platform,1041
31555,origin,0
10905,data analysis,1033
25839,e,0
21418,impact,0
11065,database,1016
26722,mathematics,1012
14274,employee,0
43557,value,0
23665,join,0
18049,gender identity,0
48963,written,0
28877,multiple,0
21131,identify,0
965,age,990
15364,excellent,0
2365,3,0
1529,analyst,976
20164,operation,0
32165,part,0
14523,engineer,949
35108,professional,948
7242,client,0
17647,full,0
47332,visualization,933
37440,report,910
2187,area,900
24682,learn,895
27458,method,892
21637,individual,0
42059,stakeholder,0
33691,plus,0
25010,life,0
37650,responsible,854
37262,relevant,845
38994,scale,843
6147,ce,840
23277,strategy,834
5786,career,833
3170,background,0
39952,sex,0
17682,function,814
16256,fi,812
30489,offer,788
34266,practice,786
37427,reporting,783
440,action,774
3726,big data,774
25825,office,0
22258,intelligence,766
18467,global,0
15614,expert,759
41273,solve,757
27049,medical,750
34876,processing,748
17808,g,746
16010,fast,743
19238,group,728
2021,approach,728
25450,location,0
27931,mission,719
36751,real,0
36892,recommendation,715
34764,problem solving,713
23247,leadership,706
19248,growth,0
44560,testing,700
7923,com,0
17121,following,0
18672,goal,684
7468,cloud,681
38736,day,0
27871,mining,675
10151,critical,674
29570,network,666
41472,spark,663
6486,challenge,661
43556,test,660
8656,concept,656
20914,training,638
26493,marketing,638
30024,non,0
33494,plan,0
30332,1,0
34433,presentation,628
13680,education,628
6505,change,627
37208,related field,626
42897,success,625
9938,creating,621
19403,hadoop,618
23246,law,0
35027,production,617
47212,vision,616
19716,health,615
5217,hand,0
8090,committed,613
17081,focus,613
26433,market,608
37987,right,0
11062,data driven,604
26019,maintain,602
20908,manage,602
15353,excel,602
17777,future,0
17670,full time,600
192,access,595
31239,optimization,593
10477,culture,591
43584,tableau,590
7672,code,589
36313,question,584
10995,data mining,583
20191,implementation,583
33098,phd,583
10906,data analytics,580
36910,record,0
8352,competitive,577
45986,type,0
42461,strategic,574
8161,community,572
3398,basic,572
27465,metric,570
34109,power,570
23431,java,567
37628,resource,565
21477,improvement,565
21979,innovation,563
11813,detail,560
27456,methodology,558
32271,passion,555
16477,fi cial,553
5613,capability,551
1533,analytic,548
14609,enterprise,540
11117,datasets,537
23210,issue,534
5222,c,533
2003,applying,528
15707,external,527
42903,successful,518
45683,trend,518
45245,track,515
21113,idea,507
33411,pipeline,507
2730,audience,504
34411,present,503
12408,discipline,503
23084,security,498
20911,review,497
11594,department,497
38912,sa,494
35309,programming language,494
11463,delivering,493
16615,finding,493
11055,data visualization,493
43951,team member,492
8864,consideration,490
13586,economics,484
5824,care,0
38461,4,0
15530,existing,481
12110,digital,480
3078,aws,479
17436,framework,479
11339,decision making,476
36858,receive,475
40333,similar,0
31100,operational,474
17085,focused,473
7141,class,0
11462,delivery,472
13163,duty,472
7783,collaborative,470
16126,feature,469
45099,top,464
33783,policy,461
13216,dynamic,460
2144,architecture,459
47860,web,458
3413,basis,454
16032,fast paced,451
2026,appropriate,449
26741,matter,448
21913,infrastructure,446
9945,creative,446
14326,enable,443
15922,family,441
36284,query,441
7778,collaboration,440
9413,core,439
13620,edge,439
4576,bring,0
15673,expression,437
27583,microsoft,435
12593,diversity,430
11382,deep learning,429
10890,dashboard,429
24922,leverage,425
45618,travel,422
229,accommodation,421
8969,consumer,418
489,activity,414
41587,specific,414
22130,insurance,414
25662,love,413
44455,term,411
6593,characteristic,409
46266,unique,407
11759,designing,406
1169,ai,404
44739,thinking,403
32397,pattern,401
3648,best practice,401
21119,ideal,401
16464,fi ce,396
21883,information technology,396
27982,ml,395
36575,range,392
31952,paid,0
2615,risk,389
30783,online,0
2539,assistance,386
37469,request,385
24711,learning technique,385
958,sale,384
42713,structured,384
8704,condition,384
8612,computing,383
48951,writing,383
33476,place,381
43104,supporting,380
19241,grow,380
26285,manner,380
42937,summary,379
11128,date,0
29220,natural,0
40055,share,376
42709,structure,374
42852,subject,373
16903,flexible,371
18169,generation,371
8814,connect,370
39230,scripting,367
39116,scientific,367
36843,reasonable,366
21507,person,0
33520,planning,364
9659,cost,363
40838,social,362
9242,contribute,360
10721,cutting,359
47231,visit,0
24052,know,358
9769,country,0
3947,bi,357
14368,end end,354
6230,center,353
1368,amazon,353
21187,id,0
7833,collection,352
45073,small,351
20252,hive,350
8310,compensation,349
34533,primary,348
1011,agile,347
45240,track record,345
41063,software development,344
11848,developer,343
23086,100,0
22212,integration,342
7951,comfortable,340
34088,potential,339
31161,operation research,337
13766,efficiency,335
45505,transform,335
5012,business intelligence,333
30006,non technical,332
48967,written communication,332
25,essential,332
33302,physic,330
1711,answer,329
20222,history,328
22706,interpersonal,326
38587,salary,326
19786,healthcare,326
9032,contact,326
15727,extract,324
345,achieve,324
32768,performing,322
2696,attention,322
12296,direct,320
17284,form,320
5881,case,320
11510,demand,319
26865,measure,318
38988,scala,317
22714,interpret,317
7204,clear,0
34784,procedure,316
11633,deployment,315
23089,medium,314
34354,predictive modeling,313
18067,general,313
9255,control,311
26857,meaningful,310
3543,behavior,310
20183,hiring,0
1563,analytical skill,309
21133,identifying,308
8964,consulting,307
15368,exceptional,305
14474,engagement,305
12749,documentation,304
43680,talented,303
588,address,0
22231,integrity,301
319,accuracy,301
10989,data management,300
28315,monitor,299
15179,etl,299
14905,equal employment opportunity,297
33741,point,0
13010,driving,293
37711,resume,291
921,affirmative action,289
18842,government,289
7166,classification,289
20512,hour,0
18166,generate,288
532,ad hoc,287
10997,data modeling,286
41206,solid,284
29234,natural language,284
39739,series,284
2915,automation,283
34360,preg cy,282
46276,unit,282
15407,exciting,280
8407,compliance,279
6491,challenging,278
20179,hire,0
34629,priority,276
26069,major,276
31368,oral,275
430,act,275
2697,attention detail,275
35679,provider,275
14053,email,0
9087,content,274
584,addition,273
25261,listed,272
48689,word,0
11651,depth,0
42207,statistical modeling,270
24770,legal,270
11017,data quality,270
17207,forecasting,269
15236,evaluation,269
39929,setting,268
42780,study,268
6665,check,268
35996,purpose,267
15363,excellence,266
25585,long term,266
12420,discover,266
30480,site,0
36940,recruiting,265
11362,dedicated,265
5287,ca,264
15251,event,264
24731,leave,0
2322,artificial intelligence,263
13771,efficient,263
789,advance,263
7060,citizenship,0
32622,peer,261
16765,fit,261
37824,revenue,0
